ID,DATE IN,DATE OUT,STOCK,TIKR,INVESTMENT (EURO),INVESTMENT (DOLLAR),SHARES,CALL PRICE,PUT PRICE,PROFIT/LOSS,PROFIT/LOSS%,DOLLAR EXCHANGE,EURO EXCHANGE,BROKER FEES,RESULT,RESULT%,TICKER,BROKER
24,6/17/2024,,MUSTANG BIO INC,MBIO,"1,022.83€","$1,110.90",1500,$0.74,$0.94,$297.30,29.07%,1.0726,1.0726,-4,273.18€,25%,MBIO,IB
25,6/21/2024,,ACTELIS NETWORKS INC,ASNS,"1,225.49€","$1,331.00",550,$2.42,$1.67,-$412.50,-33.66%,1.0726,1.0726,-4,-388.58€,-29%,ASNS,IB
26,6/21/2024,,AMERICAN REBEL HOLDINGS INC,AREB,736.58€,$800.00,1000,$0.80,$0.85,$50.00,6.79%,1.0726,1.0726,-4,42.62€,5%,AREB,IB
27,6/21/2024,,AMERICAN REBEL HOLDINGS INC,AREB,883.90€,$960.00,1200,$0.80,$0.78,-$30.00,-3.39%,1.0726,1.0726,-4,-31.97€,-3%,AREB,
29,8/13/2024,,ORGENESIS INC,ORGS,"2,946.32€","$3,200.00",4000,$0.80,$0.93,$515.20,17.49%,1.0726,1.0726,-4,476.33€,15%,ORGS,DG
28,12/1/2024,,SCORPIUS HOLDINGS,SCPX,586.44€,$636.93,1685,$0.38,$0.02,-$603.23,-102.86%,1.0726,1.0726,-4,-566.40€,-89%,SCPX,
31,12/1/2024,,NAVITAS SEMICONDUCTOR CORPORATION -,NVTS,993.39€,"$1,078.92",162,$6.66,$6.98,$51.84,5.22%,1.0726,1.0726,-4,44.33€,4%,NVTS,DG
30,12/1/2024,,CXApp INC,CXAI,894.25€,$971.25,150,$6.48,$10.00,$528.75,59.13%,1.0726,1.0726,-4,488.96€,50%,CXAI,
,12/1/2024,,VERB TECHNOLOGY COMPANY,VERB,0.00€,$0.00,8,,,$0.00,#DIV/0!,1.0726,1.0726,-4,-4.00€,#DIV/0!,VERB,DG
,12/1/2024,,CERO,,0.00€,$0.00,0,,,$0.00,#DIV/0!,1.0726,1.0726,-4,-4.00€,#DIV/0!,0,
Total,,,,,"32,690.31€",,,,,"$3,987.19",#DIV/0!,,,,,#DIV/0!,,
